title,type,year
Factors influencing E-financial service bond : the case of internet banking and mobile banking,วิทยานิพนธ์,2551
Developing ERP implementation success factors of Thai SMEs.,วิทยานิพนธ์,2551
การประมูลออนไลน์ (E-auction) กับธุรกิจการส่งออกข้าวของไทย,วิทยานิพนธ์,2551
การศึกษาปัจจัยที่มีผลต่อผู้บริโภคในการเลือกซื้อสินค้าจากร้านค้าปลีกแบบมีร้านค้ากับร้านค้าปลีกทางอินเทอร์เน็ต,งานวิจัย,2551
ปัจจัยสนับสนุนการใช้ระบบประชุมทางไกลผ่านจอภาพในองค์กรให้เกิดประสิทธิผล,งานวิจัย,2551
ปัจจัยที่ส่งผลต่อความสำเร็จในการใช้ระบบงาน Image-enabled Workflow Application กรณีศึกษา : ศูนย์ปฏิบัติการเอกสารสัญญาของ ธนาคารกรุงเทพ จำกัด (มหาชน),งานวิจัย,2551
Determinants of User Acceptance of Wikipedia,งานวิจัย,2551
ปัจจัยที่มีผลต่อการตัดสินใจเลือกใช้บริการที่สาขาธนาคารและธนาคารทางอินเทอร์เน็ต,งานวิจัย,2551
ปัจจัยที่มีอิทธิพลต่อการตัดสินใจของผู้บริโภคในการเปิดรับสื่อโฆษณาออนไลน์ในประเทศไทย,งานวิจัย,2551
การศึกษาปัจจัยความสำเร็จของการนำระบบจัดการความรู้มาใช้เพื่อพัฒนาคุณภาพการบริการของ Call Center สำหรับธุรกิจโทรคมนาคมในประเทศไทย,งานวิจัย,2551
ปัจจัยแห่งความสำเร็จของการตลาดแบบตัวแทนจำหน่าย : กรณีศึกษาประเทศไทย,งานวิจัย,2551
ปัจจัยที่มีอิทธิพลต่อการละเมิดลิขสิทธิ์ซอฟต์แวร์หรือสื่อดิจิตอลในประเทศไทย,งานวิจัย,2551
อิทธิพลของทัศนคติด้านความเป็นส่วนตัวของผู้ใช้งานอินเทอร์เน็ตที่มีความไว้วางใจในเว็บไซต์,งานวิจัย,2551
ปัจจัยที่ส่งผลต่อการตัดสินใจประมูลซื้อสินค้าผ่านเว็บประมูลออนไลน์,งานวิจัย,2551
ปัจจัยที่มีผลต่อความสำเร็จในการขายเพลงออนไลน์ผ่านอินเทอร์เน็ต,งานวิจัย,2551
ปัจจัยที่มีผลต่อการตัดสินใจของผู้ใช้บริการในการต่ออายุการใช้บริการเทคโนโลยีสารสนเทศจากบุคคลภายนอก (IT Outsource) สำหรับกลุ่มผู้ให้บริการทางการเงินในประเทศไทย,งานวิจัย,2551
ปัจจัยที่มีอิทธิพลต่อการยอมรับการใช้บริการด้านการจัดการข้อมูลจราจรคอมพิวเตอร์ (Log Management) จากแหล่งภายนอกของผู้ให้บริการร้านอินเทอร์เน็ตและร้านเกมส์ออนไลน์ในเขตกรุงเทพมหานคร,งานวิจัย,2551
ปัจจัยที่ส่งผลต่อการยอมรับระบบงานบริหารจัดการน้ำสูญเสีย หรือระบบ WLMA กรณีศึกษาการประปานครหลวง,งานวิจัย,2551
Enhancing Customer Loyalty towards Corporate Social Responsibility of Thai Mobile Service Providers,วิทยานิพนธ์,2552
Determining the Online Purchasing Loyalty for Thai Herbal Products,วิทยานิพนธ์,2552
Internet Bandwidth Network Quality Management:The Case of Thai Internet Service Provider,วิทยานิพนธ์,2552
Knowledge Acquisition elicited specialists,งานวิจัย,2552
ปัจจัยที่มีอิทธิพลต่อการยอมรับและใช้บริการโมบายแบงค์กิ้ง,งานวิจัย,2552
IT Outsourcing,งานวิจัย,2552
ปัจจัยที่ส่งผลต่อทัศนคติในการใช้อินเตอร์เน็ตแบงก์กิ้ง : อิทธิพลของบุคลิกลักษณะที่ส่งผลต่อความใว้ใจ,งานวิจัย,2552
Enhancing high quality information from data warehouse,งานวิจัย,2552
ปัจจัยที่ส่งผลต่อความสำเร็จในการเผยแผ่พระพุทธศาสนาผ่านเว็บไซต์,งานวิจัย,2552
An Empirical Framework of Key Success Factors for Software Process Improvement,งานวิจัย,2552
The Success of Data mining system in Thailand private sectors: Case study Telecommunication and Bank Business in Bangkok,งานวิจัย,2552
Factors affecting software quality : Software developemnt company,งานวิจัย,2552
ตลาดข้อมูลเพื่อการวิเคราห์ทางด้านการขายและการตลาดสำหรับธุรกิจผลิดและจำหน่ายพลาสติก,งานวิจัย,2552
ปัจจัยที่มีผลต่อความสำเร็จของระบบจัดการความรู้ในอุตสาหกรรมธนาคาร,งานวิจัย,2552
การพัฒนาตราสินค้าอิเล็กทรอนิกส์เพื่อความสำเร็จของพาณิชย์อิเล็กทรอนิกส์ กรณีศึกษา: พาณิชย์อิเล็กทรอนิกส์ของประเทศไทย,งานวิจัย,2552
ปัจจัยในการประสบความสำเร็จในมุมมองของลูกค้ากับการใช้งานระบบบริหารจัดการความสัมพันธ์ลูกค้าผ่านทางโทรศัพท์มือถือ,งานวิจัย,2552
การลงทุนด้านเทคโนโลยีสารสนเทศให้เกิดประสิทธิภาพของหน่วยงานอิสระในประเทศไทย,งานวิจัย,2552
